epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8202,2.11375,2.46604,1.71848,0.95594,0.8468,0.96652,0.5565,1.43402,1.86388,1.18693,0.00052,0.00052,0.00052
2,22.1285,1.32128,0.92014,1.13588,0.94143,0.94431,0.98447,0.67858,1.15517,0.85773,1.10597,0.00103901,0.00103901,0.00103901
3,31.1791,1.10196,0.74979,1.05039,0.98727,0.98949,0.99449,0.72274,0.99558,0.85363,1.03289,0.00153664,0.00153664,0.00153664
4,40.0691,0.99117,0.67935,0.99658,0.99493,0.98575,0.99483,0.74757,0.91123,0.80646,0.96692,0.0018812,0.0018812,0.0018812
5,49.1128,0.91357,0.63205,0.95828,0.99566,0.99934,0.99496,0.78561,0.78564,0.64722,0.92482,0.0018416,0.0018416,0.0018416
6,58.4901,0.8374,0.5942,0.93784,0.99957,0.99983,0.995,0.8234,0.66289,0.52782,0.89086,0.001802,0.001802,0.001802
7,67.64,0.74016,0.53439,0.90747,0.99998,1,0.995,0.81626,0.691,0.49893,0.89984,0.0017624,0.0017624,0.0017624
8,77.0849,0.71189,0.51041,0.89629,1,0.99965,0.995,0.83005,0.67025,0.47767,0.89455,0.0017228,0.0017228,0.0017228
9,86.4231,0.67569,0.4899,0.88786,0.99999,1,0.995,0.86062,0.57165,0.45102,0.86299,0.0016832,0.0016832,0.0016832
10,95.609,0.67387,0.47672,0.88013,0.9999,1,0.995,0.85354,0.60769,0.40532,0.86533,0.0016436,0.0016436,0.0016436
11,104.713,0.67976,0.47074,0.87954,0.99999,1,0.995,0.88042,0.52985,0.42487,0.83927,0.001604,0.001604,0.001604
12,114.305,0.61286,0.44735,0.86929,0.99999,1,0.995,0.85641,0.59419,0.41458,0.86585,0.0015644,0.0015644,0.0015644
13,123.475,0.61762,0.44353,0.86416,0.99999,1,0.995,0.90767,0.43579,0.35768,0.82358,0.0015248,0.0015248,0.0015248
14,132.594,0.60075,0.42655,0.85999,0.99999,1,0.995,0.88959,0.47863,0.35177,0.82867,0.0014852,0.0014852,0.0014852
15,141.752,0.55528,0.40847,0.85363,0.99999,1,0.995,0.91216,0.41646,0.32556,0.81841,0.0014456,0.0014456,0.0014456
